Text,Type,Valence,Intensity,Controllability,Utility,Timestamp
det er en ære at komme i så fint selskab.,Simple positive,4,3,-2,1,Fri Dec 13 2019 16:03:33 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,0,1,1,0,Fri Dec 13 2019 16:03:34 GMT+0100 (CET)
"Jeg er blank, men du har nogle gode idéer.",With but,3,2,3,3,Fri Dec 13 2019 16:03:34 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,2,4,2,0,Fri Dec 13 2019 16:03:34 GMT+0100 (CET)
Det er ikke helt rigtigt.,Simple negative,-2,1,-1,0,Fri Dec 13 2019 16:03:35 GMT+0100 (CET)
Hvor er min præmie?,Questions,0,3,2,-1,Fri Dec 13 2019 16:03:35 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-1,2,-2,-1,Fri Dec 13 2019 16:03:35 GMT+0100 (CET)
Det skal jeg se.,Simple positive,1,3,2,1,Fri Dec 13 2019 16:03:36 GMT+0100 (CET)
Hvad koster det?,Questions,0,1,2,0,Fri Dec 13 2019 16:03:36 GMT+0100 (CET)
"Det er ikke et fantastik udgangspunkt, hvis vi skal styrke børns læselyst.",Simple negative,-3,4,2,-3,Fri Dec 13 2019 16:03:36 GMT+0100 (CET)
Det er sjovt.,Simple positive,3,2,1,4,Fri Dec 13 2019 16:12:57 GMT+0100 (CET)
Maden var god.,Before but,3,-3,2,3,Fri Dec 13 2019 16:12:57 GMT+0100 (CET)
Han er lidt dum.,Before but,-2,0,1,-1,Fri Dec 13 2019 16:12:57 GMT+0100 (CET)
Han er lidt dum.,Before but,-2,1,-1,-1,Fri Dec 13 2019 16:12:58 GMT+0100 (CET)
Han kunne godt have givet en hånd med.,Before but,-2,3,2,-2,Fri Dec 13 2019 16:12:58 GMT+0100 (CET)
Du har viljestyrke og charme tilovers.,Not question,3,3,3,4,Fri Dec 13 2019 16:12:58 GMT+0100 (CET)
"Jeg havde det super sjovt, men så blev jeg syg.",With but,-2,4,-2,-1,Fri Dec 13 2019 16:12:59 GMT+0100 (CET)
Det er det værste jeg har hørt om.,Simple negative,-4,4,-2,-3,Fri Dec 13 2019 16:12:59 GMT+0100 (CET)
Har du ikke brug for hjælp?,Questions,1,2,2,2,Fri Dec 13 2019 16:13:00 GMT+0100 (CET)
Maden er for stærk.,Simple negative,-2,3,-2,-1,Fri Dec 13 2019 16:13:00 GMT+0100 (CET)
"Hun havde en god og tryg opvækst i barndommen, men som 12-13 årig havnede hun i det forkerte selskab.",Complex sentences,-3,3,-3,-2,Fri Dec 13 2019 16:13:00 GMT+0100 (CET)
Holder han ikke snart op?,Questions,-1,2,-2,-2,Fri Dec 13 2019 16:13:02 GMT+0100 (CET)
Min præmie er her.,Not question,3,3,-1,4,Fri Dec 13 2019 16:13:02 GMT+0100 (CET)
"Han er lidt dum, men han er også lidt sød.",With but,1,2,0,0,Fri Dec 13 2019 16:13:02 GMT+0100 (CET)
Jeg har haft et vildt år.,Simple positive,3,4,-2,3,Fri Dec 13 2019 16:13:03 GMT+0100 (CET)
"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig",Complex sentences,4,3,2,4,Fri Dec 13 2019 16:13:03 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-4,-4,Fri Dec 13 2019 16:13:03 GMT+0100 (CET)
Du kan gøre plads til mere leg og kreativitet.,Not question,0,1,1,1,Fri Dec 13 2019 16:13:04 GMT+0100 (CET)
Du burde gøre mere end bare at blande dig.,Complex sentences,-2,3,-3,-3,Fri Dec 13 2019 16:13:04 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,-2,4,-3,-2,Fri Dec 13 2019 16:13:04 GMT+0100 (CET)
Hvor er min præmie?,Questions,0,3,2,0,Fri Dec 13 2019 17:52:24 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-5,Fri Dec 13 2019 17:52:24 GMT+0100 (CET)
Du har brug for hjælp.,Not question,0,3,-1,0,Fri Dec 13 2019 17:52:24 GMT+0100 (CET)
Han er også lidt sød.,After but,2,1,-1,2,Fri Dec 13 2019 17:52:25 GMT+0100 (CET)
Lørdagens kamp var ikke vigtig for os.,Simple negative,0,-3,2,0,Fri Dec 13 2019 17:52:25 GMT+0100 (CET)
Vi sender et klart signal.,Simple positive,2,1,3,2,Fri Dec 13 2019 17:52:26 GMT+0100 (CET)
Det var ikke en succes.,Simple negative,-3,3,-2,-1,Fri Dec 13 2019 17:52:26 GMT+0100 (CET)
Du har brug for hjælp.,Not question,0,3,-2,1,Fri Dec 13 2019 17:52:27 GMT+0100 (CET)
Det ligner ikke os.,Simple negative,-2,3,1,-1,Fri Dec 13 2019 17:52:27 GMT+0100 (CET)
"Jeg synes, det er godt",Simple positive,3,-3,3,3,Fri Dec 13 2019 17:52:27 GMT+0100 (CET)
"Hvad siger du til, at snuppe en øl med mig?",Questions,1,2,2,2,Fri Dec 13 2019 17:52:28 GMT+0100 (CET)
Kunne man ikke gøre det anderledes?,Questions,0,3,-2,1,Fri Dec 13 2019 17:52:28 GMT+0100 (CET)
Det var ikke en succes.,Simple negative,-3,3,-1,-1,Fri Dec 13 2019 17:52:28 GMT+0100 (CET)
Han havde ikke lyst.,After but,-2,1,-1,0,Fri Dec 13 2019 17:52:29 GMT+0100 (CET)
Har du ikke lyst til en gang frokost?,Questions,1,2,3,3,Fri Dec 13 2019 17:52:29 GMT+0100 (CET)
Dét kan jeg godt grine af,Simple positive,3,3,1,3,Fri Dec 13 2019 17:52:29 GMT+0100 (CET)
"Åh, jeg glæder mig så meget!",Simple positive,5,4,-3,5,Fri Dec 13 2019 17:52:30 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,-1,2,-2,0,Fri Dec 13 2019 17:52:30 GMT+0100 (CET)
programmet har givet anledning til panderynker.,Simple negative,-2,3,2,-1,Fri Dec 13 2019 17:52:30 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,-2,2,-1,-1,Fri Dec 13 2019 17:52:31 GMT+0100 (CET)
"Vi må gøre op, om vi vil det til næste år.",Simple negative,0,1,1,0,Fri Dec 13 2019 18:16:28 GMT+0100 (CET)
Han havde ikke lyst.,After but,-3,2,-1,-1,Fri Dec 13 2019 18:16:28 GMT+0100 (CET)
"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene.",Complex sentences,-3,4,-3,-3,Fri Dec 13 2019 18:16:29 GMT+0100 (CET)
Hvem har flyttet den?,Questions,0,3,0,0,Fri Dec 13 2019 18:16:29 GMT+0100 (CET)
Hvad tror du selv?,Questions,-1,2,-1,0,Fri Dec 13 2019 18:16:30 GMT+0100 (CET)
Det er ikke det jeg skal have.,Simple negative,-2,2,-3,-1,Fri Dec 13 2019 18:16:30 GMT+0100 (CET)
Du har ikke kun koncentreret dig om udviklingen.,Not question,-1,2,-1,0,Fri Dec 13 2019 18:16:30 GMT+0100 (CET)
"Jeg synes personligt det er brænd ærgerligt, hvis vi ikke får en afstemning.",Complex sentences,-4,3,-2,-3,Fri Dec 13 2019 18:16:31 GMT+0100 (CET)
Før var du sjov.,Before but,-2,3,-3,-2,Fri Dec 13 2019 18:16:31 GMT+0100 (CET)
"Når alle udgifter og indtægter er gjort op, viser budgetopfølgningen, at året forventes at slutte med god balance i regnskabet.",Complex sentences,2,2,3,3,Fri Dec 13 2019 18:16:31 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,3,4,4,Fri Dec 13 2019 18:16:31 GMT+0100 (CET)
Jeg kan lide at tale med dem.,Simple positive,2,-2,2,3,Fri Dec 13 2019 18:16:32 GMT+0100 (CET)
Du kommer i morgen.,Not question,0,1,0,1,Fri Dec 13 2019 18:16:32 GMT+0100 (CET)
Det er dit mål.,Not question,1,2,1,1,Fri Dec 13 2019 18:16:32 GMT+0100 (CET)
Hun var meget unik.,Simple positive,3,4,4,4,Fri Dec 13 2019 18:16:33 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,1,2,1,1,Fri Dec 13 2019 18:16:33 GMT+0100 (CET)
"Når alle udgifter og indtægter er gjort op, viser budgetopfølgningen, at året forventes at slutte med god balance i regnskabet.",Complex sentences,3,-1,4,3,Fri Dec 13 2019 18:16:33 GMT+0100 (CET)
Han kan hoppe højt.,Before but,3,3,2,1,Fri Dec 13 2019 18:16:33 GMT+0100 (CET)
Skulle det nu også være kunst?,Questions,-2,4,-2,-3,Fri Dec 13 2019 18:16:34 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,-1,2,0,0,Fri Dec 13 2019 18:16:34 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-2,1,-2,-1,Fri Dec 13 2019 21:34:54 GMT+0100 (CET)
"Jeg er blank, men du har nogle gode idéer.",With but,-1,2,-1,0,Fri Dec 13 2019 21:34:54 GMT+0100 (CET)
Du har nogle gode idéer.,After but,1,0,0,1,Fri Dec 13 2019 21:34:55 GMT+0100 (CET)
"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig",Complex sentences,3,-2,2,2,Fri Dec 13 2019 21:34:55 GMT+0100 (CET)
"Hvad siger du til, at snuppe en øl med mig?",Questions,4,-3,3,4,Fri Dec 13 2019 21:34:56 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-3,2,-2,-3,Fri Dec 13 2019 21:34:56 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,-2,1,-1,-2,Fri Dec 13 2019 21:34:56 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,-2,2,3,Fri Dec 13 2019 21:34:57 GMT+0100 (CET)
Han holder op.,Not question,-1,-4,-2,3,Fri Dec 13 2019 21:34:57 GMT+0100 (CET)
Der er overhovedet ikke nogen der gider.,Not question,-3,1,-2,-2,Fri Dec 13 2019 21:34:57 GMT+0100 (CET)
Maden var god.,Before but,3,-3,1,2,Fri Dec 13 2019 21:34:57 GMT+0100 (CET)
"Maden var god, men betjeningen var elendig.",With but,1,-2,-1,2,Fri Dec 13 2019 21:34:58 GMT+0100 (CET)
"Han kunne godt have givet en hånd med, men han havde ikke lyst.",With but,-3,2,-1,-1,Fri Dec 13 2019 21:34:58 GMT+0100 (CET)
Holder han ikke snart op?,Questions,-3,2,-2,-2,Fri Dec 13 2019 21:34:59 GMT+0100 (CET)
Den her er satme også god.,Simple positive,4,-3,3,3,Fri Dec 13 2019 21:34:59 GMT+0100 (CET)
Det koster det.,Not question,-2,2,-3,0,Fri Dec 13 2019 21:35:00 GMT+0100 (CET)
Han er også lidt sød.,After but,3,-2,1,2,Fri Dec 13 2019 21:35:01 GMT+0100 (CET)
Vil du ikke lave det igen?,Questions,2,-3,1,1,Fri Dec 13 2019 21:35:01 GMT+0100 (CET)
Det er flot og velfortjent,Simple positive,4,-3,2,3,Fri Dec 13 2019 21:35:01 GMT+0100 (CET)
Betjeningen var elendig.,After but,-3,3,-3,1,Fri Dec 13 2019 21:35:02 GMT+0100 (CET)
Jeg vil bestemt ikke prøve den løsning næste gang.,Simple negative,-3,2,1,2,Fri Dec 13 2019 21:44:01 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-2,2,-1,-1,Fri Dec 13 2019 21:44:01 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,3,-2,-1,2,Fri Dec 13 2019 21:44:01 GMT+0100 (CET)
Du vil ikke lave det igen.,Not question,-2,2,1,-1,Fri Dec 13 2019 21:44:02 GMT+0100 (CET)
Hvad er dit mål?,Questions,0,2,-3,2,Fri Dec 13 2019 21:44:02 GMT+0100 (CET)
Det er da lidt fornuftigt.,Simple positive,2,-2,1,1,Fri Dec 13 2019 21:44:03 GMT+0100 (CET)
"Jeg synes, det er helt vidunderligt og glæder mig MEGET over alt det skønne og humørfyldte, der er dukket frem i byen gennem de senere år.",Complex sentences,5,-4,4,4,Fri Dec 13 2019 21:44:03 GMT+0100 (CET)
"Før var det okay, men nu er det for galt.",With but,-2,3,-3,-1,Fri Dec 13 2019 21:44:04 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,3,-3,2,3,Fri Dec 13 2019 21:44:04 GMT+0100 (CET)
Spiller de stadig?,Questions,1,1,-1,0,Fri Dec 13 2019 21:44:04 GMT+0100 (CET)
Han er lidt dum.,Before but,-2,-2,-1,1,Fri Dec 13 2019 21:44:05 GMT+0100 (CET)
Min præmie er her.,Not question,3,-2,0,2,Fri Dec 13 2019 21:44:05 GMT+0100 (CET)
"Jeg er glad for, at de kom i dag.",Simple positive,3,-2,2,3,Fri Dec 13 2019 21:44:05 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,0,3,-2,-1,Fri Dec 13 2019 21:44:06 GMT+0100 (CET)
Jeg blev træt halvvejs og satte mig ned.,After but,-3,2,2,-2,Fri Dec 13 2019 21:44:06 GMT+0100 (CET)
Stort hjerteligt tak for det!,Simple positive,5,-3,3,3,Fri Dec 13 2019 21:44:06 GMT+0100 (CET)
Jeg har købt billetter.,Simple positive,3,-2,3,2,Fri Dec 13 2019 21:44:07 GMT+0100 (CET)
Har du ikke lyst til en gang frokost?,Questions,4,-3,2,3,Fri Dec 13 2019 21:44:07 GMT+0100 (CET)
Hvad mener du?,Questions,0,1,1,1,Fri Dec 13 2019 21:44:07 GMT+0100 (CET)
Du har været igennem en hård proces.,Simple negative,-2,-4,-1,1,Fri Dec 13 2019 21:44:07 GMT+0100 (CET)
Den er blevet flyttet.,Not question,-2,-2,-3,1,Fri Dec 13 2019 21:50:11 GMT+0100 (CET)
Jeg glæder mig til at se jer.,Simple positive,3,-2,1,2,Fri Dec 13 2019 21:50:11 GMT+0100 (CET)
Før var du sjov.,Before but,-2,1,-1,-2,Fri Dec 13 2019 21:50:11 GMT+0100 (CET)
Jeg har brug for hjælp.,Simple negative,0,2,-2,1,Fri Dec 13 2019 21:50:11 GMT+0100 (CET)
"Jeg havde det super sjovt, men så blev jeg syg.",With but,1,-3,-3,0,Fri Dec 13 2019 21:50:12 GMT+0100 (CET)
"Det er sgu da det jeg skal have, mand.",Simple positive,2,-2,1,2,Fri Dec 13 2019 21:50:12 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,2,-2,-1,2,Fri Dec 13 2019 21:50:12 GMT+0100 (CET)
Du har viljestyrke og charme tilovers.,Not question,3,-2,-1,2,Fri Dec 13 2019 21:50:12 GMT+0100 (CET)
Det ligner os.,Simple positive,2,-4,3,2,Fri Dec 13 2019 21:50:13 GMT+0100 (CET)
Du snupper en øl med mig.,Not question,3,-3,2,3,Fri Dec 13 2019 21:50:14 GMT+0100 (CET)
Du er også i gang.,Not question,2,-3,1,2,Fri Dec 13 2019 21:50:14 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-2,-1,-2,-1,Fri Dec 13 2019 21:50:14 GMT+0100 (CET)
Du har ikke brug for hjælp.,Not question,-2,3,-2,-2,Fri Dec 13 2019 21:50:14 GMT+0100 (CET)
Det var ikke en succes!,Simple negative,-4,3,-3,-1,Fri Dec 13 2019 21:50:15 GMT+0100 (CET)
Nu er du bare dum at høre på!!,After but,-4,4,-3,-4,Fri Dec 13 2019 21:50:15 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,2,-3,-2,2,Fri Dec 13 2019 21:50:15 GMT+0100 (CET)
Det er da ikke skønt.,Simple negative,-2,2,-2,-1,Fri Dec 13 2019 21:50:15 GMT+0100 (CET)
Hvordan har du det?,Questions,2,-2,2,1,Fri Dec 13 2019 21:50:16 GMT+0100 (CET)
Hun klarede det nu meget godt.,After but,2,-2,1,2,Fri Dec 13 2019 21:50:16 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,2,1,-2,2,Fri Dec 13 2019 21:50:16 GMT+0100 (CET)
Det er en ære at komme i sådan et selskab.,Simple positive,4,-2,2,3,Fri Dec 13 2019 22:15:38 GMT+0100 (CET)
"Maden var god, men betjeningen var elendig.",With but,0,2,-3,2,Fri Dec 13 2019 22:15:38 GMT+0100 (CET)
Du hoster meget i dag.,Simple negative,-1,3,-2,-2,Fri Dec 13 2019 22:15:39 GMT+0100 (CET)
Han er også lidt sød.,After but,3,-2,1,2,Fri Dec 13 2019 22:15:39 GMT+0100 (CET)
Du kan huske den.,Not question,2,-2,1,2,Fri Dec 13 2019 22:15:40 GMT+0100 (CET)
Han er også lidt sød.,After but,3,-2,1,2,Fri Dec 13 2019 22:15:41 GMT+0100 (CET)
Jeg er blank.,Before but,-2,2,-3,-2,Fri Dec 13 2019 22:15:41 GMT+0100 (CET)
Så blev jeg syg.,After but,-2,0,-3,-2,Fri Dec 13 2019 22:15:41 GMT+0100 (CET)
Vi gør det bedst.,Not question,2,-2,1,1,Fri Dec 13 2019 22:15:41 GMT+0100 (CET)
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,-1,1,-3,1,Fri Dec 13 2019 22:15:42 GMT+0100 (CET)
"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig",Complex sentences,3,-3,1,3,Fri Dec 13 2019 22:15:42 GMT+0100 (CET)
Den har en funktion og en betydning,Simple positive,2,-2,1,2,Fri Dec 13 2019 22:15:42 GMT+0100 (CET)
Hun klarede det nu meget godt.,After but,2,-3,2,2,Fri Dec 13 2019 22:15:43 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,-1,2,-3,-1,Fri Dec 13 2019 22:15:43 GMT+0100 (CET)
Du har tid til en kop kaffe.,Not question,2,-4,-1,2,Fri Dec 13 2019 22:15:43 GMT+0100 (CET)
Han havde ikke lyst.,After but,-3,2,1,0,Fri Dec 13 2019 22:15:44 GMT+0100 (CET)
Du vil ikke lade være.,Not question,-3,3,-4,-3,Fri Dec 13 2019 22:15:44 GMT+0100 (CET)
Udviklingen blev ikke hjulpet på vej.,Simple negative,-2,2,-1,-2,Fri Dec 13 2019 22:15:44 GMT+0100 (CET)
Vi er godt på vej,Simple positive,2,-2,1,2,Fri Dec 13 2019 22:15:45 GMT+0100 (CET)
Det er ikke vildt spændende.,Simple negative,-2,-3,-2,2,Fri Dec 13 2019 22:15:45 GMT+0100 (CET)
"Det var det, vi snakkede om.",Complex sentences,4,-3,3,5,Sat Dec 14 2019 14:50:34 GMT+0100 (CET)
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,3,-1,2,2,Sat Dec 14 2019 14:50:34 GMT+0100 (CET)
Jeg tænker ikke på dig.,Simple negative,-2,3,-2,-3,Sat Dec 14 2019 14:50:34 GMT+0100 (CET)
Kommer du i morgen?,Questions,3,-3,3,4,Sat Dec 14 2019 14:50:34 GMT+0100 (CET)
Så blev jeg syg.,After but,-3,3,-3,-3,Sat Dec 14 2019 14:50:35 GMT+0100 (CET)
Vil du ikke begynde at lave det igen?,Questions,3,-3,3,4,Sat Dec 14 2019 14:50:36 GMT+0100 (CET)
Maden var god.,Before but,5,-5,3,5,Sat Dec 14 2019 14:50:36 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,4,-3,4,4,Sat Dec 14 2019 14:50:36 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,4,-4,4,4,Sat Dec 14 2019 14:50:37 GMT+0100 (CET)
Det er da fornuftigt.,Simple positive,4,-4,4,4,Sat Dec 14 2019 14:50:37 GMT+0100 (CET)
Hvad er dit mål?,Questions,3,-3,3,4,Sat Dec 14 2019 14:50:37 GMT+0100 (CET)
Man kunne have udfordret denne holdning.,Complex sentences,2,-2,3,3,Sat Dec 14 2019 14:50:37 GMT+0100 (CET)
Det er dit mål.,Not question,4,-3,3,3,Sat Dec 14 2019 14:50:38 GMT+0100 (CET)
Det kunne vi da ikke.,Simple negative,-3,-3,2,2,Sat Dec 14 2019 14:50:38 GMT+0100 (CET)
Før var du sjov.,Before but,-5,3,-3,-4,Sat Dec 14 2019 14:50:38 GMT+0100 (CET)
Der er ikke tillid til ledelsen.,Simple negative,-4,3,2,-3,Sat Dec 14 2019 14:50:39 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,4,-4,4,5,Sat Dec 14 2019 14:50:39 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,-2,3,1,1,Sat Dec 14 2019 14:50:39 GMT+0100 (CET)
Jeg har det skidt,Simple negative,-4,4,-3,-3,Sat Dec 14 2019 14:50:39 GMT+0100 (CET)
Betjeningen var elendig.,After but,-5,3,-3,-3,Sat Dec 14 2019 14:50:40 GMT+0100 (CET)
Det er rigtigt.,Simple positive,5,-3,5,5,Sat Dec 14 2019 14:59:49 GMT+0100 (CET)
Du kan gøre plads til mere leg og kreativitet.,Not question,4,-3,2,3,Sat Dec 14 2019 14:59:49 GMT+0100 (CET)
"Jeg er blank, men du har nogle gode idéer.",With but,4,-3,-1,3,Sat Dec 14 2019 14:59:49 GMT+0100 (CET)
Jeg har det varmt.,Simple positive,3,-3,3,3,Sat Dec 14 2019 14:59:50 GMT+0100 (CET)
"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene.",Complex sentences,-4,3,2,2,Sat Dec 14 2019 14:59:50 GMT+0100 (CET)
"Du synes også at tiden flyver af sted, når man har det sjovt.",Not question,4,-4,3,3,Sat Dec 14 2019 14:59:51 GMT+0100 (CET)
Så blev jeg syg.,After but,-4,3,-2,-1,Sat Dec 14 2019 14:59:51 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,5,-3,4,4,Sat Dec 14 2019 14:59:51 GMT+0100 (CET)
Der var beskidt.,Before but,-4,3,2,4,Sat Dec 14 2019 14:59:52 GMT+0100 (CET)
Det kan jeg ikke lide.,Simple negative,4,4,-3,-3,Sat Dec 14 2019 14:59:52 GMT+0100 (CET)
Programmet har ikke givet anledning til panderynker.,Simple positive,4,-4,3,4,Sat Dec 14 2019 14:59:52 GMT+0100 (CET)
Det kunne være ret sjovt.,Simple positive,5,-3,3,3,Sat Dec 14 2019 14:59:53 GMT+0100 (CET)
"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor.",Complex sentences,5,-4,3,5,Sat Dec 14 2019 14:59:53 GMT+0100 (CET)
Programmet har ikke givet anledning til panderynker.,Simple positive,4,-4,4,4,Sat Dec 14 2019 14:59:53 GMT+0100 (CET)
Du gør mig lige en tjeneste.,Not question,4,-3,-1,3,Sat Dec 14 2019 14:59:54 GMT+0100 (CET)
Er det sjovt?,Questions,4,-2,1,3,Sat Dec 14 2019 14:59:54 GMT+0100 (CET)
Du burde gøre mere end at blande dig.,Complex sentences,-3,3,-3,-3,Sat Dec 14 2019 14:59:54 GMT+0100 (CET)
"Det er trist, når de helt små børn siger ord, de ikke selv forstår.",Complex sentences,-2,3,-1,-1,Sat Dec 14 2019 14:59:55 GMT+0100 (CET)
Hvad skal dette ikke til for?,Questions,-3,2,-3,-3,Sat Dec 14 2019 14:59:55 GMT+0100 (CET)
Du vil lave det igen.,Not question,4,-3,3,3,Sat Dec 14 2019 14:59:56 GMT+0100 (CET)
Han kunne godt have givet en hånd med.,Before but,-3,1,0,-5,Sat Dec 14 2019 18:33:06 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,-1,-2,-2,-2,Sat Dec 14 2019 18:33:06 GMT+0100 (CET)
Vi er der snart!!,Simple positive,5,5,-3,5,Sat Dec 14 2019 18:33:07 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,-4,1,4,-1,Sat Dec 14 2019 18:33:07 GMT+0100 (CET)
programmet har givet anledning til panderynker.,Simple negative,-4,1,1,1,Sat Dec 14 2019 18:33:08 GMT+0100 (CET)
Maden var god.,Before but,5,-5,5,5,Sat Dec 14 2019 18:33:09 GMT+0100 (CET)
Han er også lidt sød.,After but,5,-3,2,3,Sat Dec 14 2019 18:33:09 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,-3,-2,-3,-2,Sat Dec 14 2019 18:33:09 GMT+0100 (CET)
Det koster det.,Not question,-4,4,-4,-3,Sat Dec 14 2019 18:33:10 GMT+0100 (CET)
Er du også i gang?,Questions,-5,3,-3,-2,Sat Dec 14 2019 18:33:10 GMT+0100 (CET)
Det er meget bekymrende.,Simple negative,-4,4,-1,-2,Sat Dec 14 2019 18:33:10 GMT+0100 (CET)
Der var beskidt.,Before but,-5,4,-4,-5,Sat Dec 14 2019 18:33:11 GMT+0100 (CET)
Du kommer i morgen.,Not question,-5,3,-4,-3,Sat Dec 14 2019 18:33:11 GMT+0100 (CET)
Du kommer i morgen.,Not question,-5,3,-4,-3,Sat Dec 14 2019 18:33:11 GMT+0100 (CET)
Det bliver bare kedeligt.,Simple negative,-5,5,0,-3,Sat Dec 14 2019 18:33:12 GMT+0100 (CET)
"Vi glæder os ikke til den tid, vi går i møde.",Simple negative,-4,0,-3,-4,Sat Dec 14 2019 18:33:12 GMT+0100 (CET)
Du burde gøre mere end bare at blande dig.,Complex sentences,-3,5,-5,-5,Sat Dec 14 2019 18:33:12 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,-3,-2,-3,-2,Sat Dec 14 2019 18:33:13 GMT+0100 (CET)
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,-4,2,-4,-5,Sat Dec 14 2019 18:33:13 GMT+0100 (CET)
"Jeg er blank, men du har nogle gode idéer.",With but,3,-2,-1,3,Sat Dec 14 2019 18:33:13 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-4,-4,Sat Dec 14 2019 19:46:45 GMT+0100 (CET)
Du kan tro nej!,Simple negative,5,1,3,3,Sat Dec 14 2019 19:46:46 GMT+0100 (CET)
"Jeg er blank, men du har nogle gode idéer.",With but,3,-3,3,3,Sat Dec 14 2019 19:46:46 GMT+0100 (CET)
Maden var god.,Before but,5,-4,4,4,Sat Dec 14 2019 19:46:46 GMT+0100 (CET)
Hvor blev du af?,Questions,4,3,2,3,Sat Dec 14 2019 19:46:47 GMT+0100 (CET)
Jeg kan høre det.,Simple positive,3,-3,3,3,Sat Dec 14 2019 19:46:47 GMT+0100 (CET)
Spis I bare løs.,Simple positive,4,-5,4,4,Sat Dec 14 2019 19:46:47 GMT+0100 (CET)
I dag er de gode venner,Simple positive,5,-5,4,5,Sat Dec 14 2019 19:46:48 GMT+0100 (CET)
Du burde gøre mere end at blande dig.,Complex sentences,-3,3,-1,0,Sat Dec 14 2019 19:46:48 GMT+0100 (CET)
Han kunne tænke sig at hjælpe til.,Not question,5,-3,3,3,Sat Dec 14 2019 19:46:48 GMT+0100 (CET)
Han er lidt dum.,Before but,-5,4,-2,-3,Sat Dec 14 2019 19:46:48 GMT+0100 (CET)
Det koster det.,Not question,4,-3,4,5,Sat Dec 14 2019 19:46:49 GMT+0100 (CET)
"Han er lidt dum, men han er også lidt sød.",With but,3,-3,3,3,Sat Dec 14 2019 19:46:49 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,4,-3,3,4,Sat Dec 14 2019 19:46:49 GMT+0100 (CET)
Du er ikke handlekraftig.,Simple negative,-4,3,3,-3,Sat Dec 14 2019 19:46:50 GMT+0100 (CET)
Dit humør og din livskvalitet bliver også påvirket,Complex sentences,-3,3,2,-3,Sat Dec 14 2019 19:46:50 GMT+0100 (CET)
